# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.5544304175168773,1.4482423872029841,2.904623005451286,158.3088067303323,-1.6632912525506316,-3.0,0.6106281558106176,0.0,-58.55492215712378,0.0
 0.5632244294851168,1.461891906338091,2.8990510373723284,157.79387404408322,-1.68967328845535,-3.0,0.5990777309097142,0.0,-58.346248065904305,0.0
 0.5719123390399375,1.4755376657715247,2.89333924511049,157.2869671180235,-1.7157370171198125,-3.000000000000013,0.5877532103731161,0.0,-58.11488055338422,0.0
 0.5804988758858514,1.4891790083700691,2.8874891651952534,156.78796155485597,-1.7414966276575539,-2.999999999999987,0.5766547295640513,0.0,-57.86288821575976,0.0
 0.5889884163571492,1.50281527700051,2.8815023341561012,156.2967322235621,-1.7669652490714471,-2.999999999999987,0.5657819755053258,0.0,-57.59220405507396,0.0
 0.5973850167142882,1.5164458145296316,2.875380288522515,155.81315350242485,-1.7921550501428642,-2.9999999999999867,0.555134226369283,0.0,-57.30463417355609,0.0
 0.6056924425466862,1.5300699638242181,2.869124564823977,155.33709950417534,-1.817077327640058,-2.9999999999999867,0.5447103888269341,0.0,-57.00186581240809,0.0
 0.6139141948254633,1.543687067751055,2.8627366995899703,154.86844428403762,-1.841742584476389,-2.999999999999973,0.5345090332845379,0.0,-56.685474809512144,0.0
 0.6220535330619943,1.5572964691769262,2.856218229349976,154.40706203146462,-1.866160599185982,-2.9999999999999862,0.524528427122498,0.0,-56.356932534717075,0.0
 0.6301134959563931,1.5708975109686172,2.849570690633477,153.9528272463927,-1.8903404878691785,-3.0000000000000138,0.5147665659125716,0.0,-56.01761237001802,0.0
 0.6380969198610457,1.5844895359929119,2.842795619969955,153.50561490071632,-1.9142907595831364,-3.000000000000028,0.5052212026548849,0.0,-55.668795756549166,0.0
 0.646006455335544,1.5980718871165953,2.8358945538888927,153.0653005858573,-1.9380193660066316,-3.000000000000014,0.49588987508328813,0.0,-55.311677868217956,0.0
 0.6538445820288603,1.6116439072064521,2.828869028919772,152.6317606471063,-1.9615337460865807,-3.0000000000000284,0.48676993122111173,0.0,-54.947372927421874,0.0
 0.6616136220908134,1.6252049391292671,2.821720581592075,152.20487230553408,-1.98484086627244,-2.999999999999986,0.47785855311965975,0.0,-54.576919199320415,0.0
 0.6693157522865589,1.6387543257518244,2.814450748435284,151.78451376817824,-2.0079472568596763,-2.999999999999986,0.46915277882882694,0.0,-54.20128368626225,0.0
 0.6769530149640152,1.6522914099409096,2.8070610659788815,151.37056432721093,-2.030859044892045,-3.0000000000000147,0.4606495229146103,0.0,-53.821366545977476,0.0
 0.6845273280040072,1.6658155345633066,2.7995530707523493,150.96290444875154,-2.0535819840120215,-3.000000000000044,0.4523455952505447,0.0,-53.438005243488874,0.0
 0.6920404938658548,1.6793260424858003,2.7919282992851695,150.56141585203093,-2.0761214815975646,-3.0000000000000444,0.444237718521029,0.0,-53.05197847041643,0.0
